Judul,Isi Berita,Tanggal Berita,Kategori
Raja Antoni Sertifikasi Tanah Rakyat Polehan Malang usai Berjuang 24 Tahun,"Warga Kelurahan Polehan, Kota Malang, akhirnya dapat bernapas lega. Pasalnya, selama 24 tahun menduduki tanah akhirnya mereka mendapat kepastian hukum atas tanahnya setelah mendapat penanganan langsung dari Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN)","Senin, 02 September 2024 - 20:46 WIB",DAERAH
"Atasi Mental Health Anak Jakarta, Ridwan Kamil: Curhat Cukup Rebahan dan Ada Mobil Jemput Bola",Calon Gubernur (Cagub) Jakarta Ridwan Kamil (RK) mewacanakan ada layanan psikologi keliling jika terpilih dalam Pilkada Jakarta 2024. Hal itu sebagai upaya mengatasi masalah kesehatan jiwa (mental health) anak Jakarta dengan dua versi yakni aplikasi dan mobil curhat sebagai upaya jemput bola.,"Senin, 02 September 2024 - 21:09 WIB",METRO
Imigrasi Bandara Soetta Siapkan Fasilitas Khusus Sambut Kedatangan Paus Fransiskus,"Paus Fransiskus dijadwalkan tiba di Indonesia melalui Bandara Internasional Soekarno-Hatta, Kota Tangerang, besok, Selasa, 3 September 2024.","Senin, 02 September 2024 - 21:01 WIB",METRO
"Ivan Gunawan Pelit Kasih Yes ke Kontestan Amazing Dance Indonesia, Ternyata Ini Alasannya","Ivan Gunawan alias Igun dipercaya menjadi salah satu juri selebritas dalam program baru GTV, Amazing Dance Indonesia.","Senin, 02 September 2024 - 21:00 WIB",LIFESTYLE
TRID-Perhutani Tanam 200 Pohon untuk Masa Depan Berkelanjutan,"TUV Rheinland Indonesia (TRID) bekerja sama dengan Perum Perhutani melakukan aksi penanaman pohon di Sentul Eco Edu Tourism Forest, Jabar.","Senin, 02 September 2024 - 20:20 WIB",NASIONAL
Pengadilan Tinggi Jakarta Perkuat Vonis 9 Tahun Karen Agustiawan,"Pengadilan Tinggi (PT) Jakarta memperkuat vonis Pengadilan Tindak Pidana Korupsi (Tipikor) terhadap eks Dirut Pertamina, Galaila Karen Kardinah alias Karen Agustiawan.","Senin, 02 September 2024 - 20:20 WIB",NASIONAL
"Sambut Kedatangan Paus Fransiskus ke Indonesia, Kemenparekraf Imbau Masyarakat Work from Destination","Kemenparekraf memberikan kelonggaran pada masyarakat Indonesia, khususnya umat Katolik, agar bisa menikmati momen kunjungan Paus Fransiskus.","Senin, 02 September 2024 - 20:20 WIB",LIFESTYLE
8 Tersangka Sindikat Penjual Bayi di Depok Terancam 15 Tahun Penjara dan Denda Rp600 Juta,"Delapan tersangka kasus TPPO dua bayi di wilayah hukum Depok, Jawa Barat terancam hukuman maksimal 15 tahun penjara dan denda Rp600 juta, Senin (2/9/2024).","Senin, 02 September 2024 - 20:14 WIB",METRO
RIIZE Rayakan Ulang Tahun Pertama Bersama BRIIZE di Jakarta,"RIIZE merayakan ulang tahun pertama mereka bersama para penggemar yang dikenal dengan sebutan BRIIZE, dalam sebuah acara fan sign.","Senin, 02 September 2024 - 21:40 WIB",LIFESTYLE
Universitas Bakrie Sambut 1.540 Mahasiswa Baru Angkatan 2024,"Dengan tema Gelora Generasi Unggul, penyambutan mahasiswa baru Universitas Bakrie selaras dengan pencapaian tertinggi kampus yang baru saja meraih Akreditasi Unggul.","Senin, 02 September 2024 - 20:05 WIB",EDUKASI
Tim Medis Indonesia Gabung dengan Rumah Sakit Lapangan UEA di Gaza,Satu tim medis Indonesia telah bergabung dengan Rumah Sakit Lapangan Terpadu Uni Emirat Arab (UEA) di Gaza sebagai bagian dari Operasi Ksatria Berjiwa Kesatria 3.,"Senin, 02 September 2024 - 21:30 WIB",INTERNATIONAL
DPC dan PAC PDIP Muna Barat Minta Mega Usung Kader Banteng di Pilkada 2024,"Pengurus Dewan Pimpinan Cabang (DPC) dan Pimpinan Anak Cabang (PAC) PDIP Muna Barat, Sulawesi Tenggara meminta Ketua Umum DPP PDIP, Megawati Soekarnoputri, untuk mengevaluasi keputusan yang memberikan bakal calon bupati Muna Barat dari partai lain.","Senin, 02 September 2024 - 20:03 WIB",DAERAH
Israel Dituding Beli Iklan Google untuk Blokir Donasi UNRWA,"Pemerintah Israel membeli iklan palsu pada hasil pencarian Google untuk badan PBB untuk pengungsi Palestina (UNRWA) dalam upaya mendiskreditkan lembaga tersebut, menurut laporan Wired pada Senin (2/9/2024).","Senin, 02 September 2024 - 20:01 WIB",INTERNATIONAL
Pacuan Kuda Indonesia Perlu Kolaboratif dan Inovatif Hadapi Perkembangan Global,"Indonesia menjadi satu dari 40 negara yang berpartisipasi dalam Asian Racing Conference (ARC) ke-40 di Sapporo Jepang yang berlangsung, 27 Agustus - 1 September 2024.","Senin, 02 September 2024 - 20:00 WIB",SPORTS
"Ikuti Jejak Rusia, Banyak Negara Ingin Dolar AS Jungkir Balik",Sejumlah sistem perdagangan dan pembayaran alternatif terus mencoba meruntuhkan tatanan perdagangan dan pembayaran yang dipimpin oleh AS.,"Senin, 02 September 2024 - 20:40 WIB",EKONOMI BISNIS
Modus 8 Tersangka Sindikat Penjual Bayi saat Melancarkan Aksinya,"Dua bayi berjenis kelamin laki-laki dan perempuan hendak dijual ke Bali oleh delapan tersangka sindikat kasus TPPO di wilayah hukum Depok, Jawa Barat.","Senin, 02 September 2024 - 19:56 WIB",METRO
"Dokter Aulia Risma Dipalak Puluhan Juta, Guru Besar FK Undip: Itu Uang Iuran Angkatan",Guru Besar Fakultas Kedokteran (FK) Universitas Diponegoro (Undip) Prof. Zainal Muttaqin ikut angkat bicara merespons pernyataan Kemenkes yang menyebutkan dr. Aulia Risma Lestari (ARL) dipalak seniornya puluhan juta rupiah.,"Senin, 02 September 2024 - 20:21 WIB",DAERAH
Terungkap Pencuri Kotak Amal Masjid di Malang Ternyata Pelajar SMP dan SD,Tiga bocah di Malang yang sempat viral terekam kamera CCTV mencuri kotak amal masjid di samping rumah Menko PMK Muhadjir Effendy akhirnya terindentifikasi. Ketiganya teridentifikasi berkat terekam video Masjid Asy-Syuura Malang.,"Senin, 02 September 2024 - 19:54 WIB",DAERAH
Bahu Jalan Bukan Arena Balap! SUV Ini Terguling Gara-gara Nyalip Sembarangan,Sebuah video viral di media sosial memperlihatkan detik-detik mengerikan sebuah mobil SUV terguling saat mencoba menyalip dari bahu jalan.,"Senin, 02 September 2024 - 20:00 WIB",OTOMOTIF
Hasil Paralimpiade Paris 2024: Leani Ratri Oktila Persembahkan Medali Perak Para Bulu Tangkis,Cabang olahraga (cabor) para bulu tangkis kembali menyumbangkan medali untuk Indonesia di Paralimpiade Paris 2024. Kali ini datang dari tunggal putri SL4 lewat Leani Ratri Oktila yang sukses mempersembahkan medali perak.,"Senin, 02 September 2024 - 19:49 WIB",SPORTS
Eks Tahanan KPK Setor Bulanan Sampai Rp145 Juta selama di Rutan KPK,"Mantan tahanan Komisi Pemberantasan Korupsi (KPK), Dono Purwoko mengaku menyetor sebesar Rp145 juta selama mendekam di Rutan KPK.","Senin, 02 September 2024 - 19:48 WIB",NASIONAL
Temuan Kondom Firaun Bikin Kepo Ilmuwan Soal Aktifitas Seksual Mesir Kuno,"Penemuan kondom Firaun berusia 3.000 tahun, ditemukan di makam Firaun Tutankhamun, membuat para ilmuwan bersemangar untuk mengungkap kehidupan seksual dan praktik reproduksi pada zaman Firaun.","Senin, 02 September 2024 - 19:39 WIB",SAINS
Dekan FK Undip Diberhentikan Sementara dari RSUP Kariadi Buntut Kasus dr. Aulia Risma,Dekan FK Undip Yan Wisnu diberhentikan sementara dari posisinya sebagai dokter spesialis onkologi di RSUP Dr. Kariadi.,"Senin, 02 September 2024 - 19:38 WIB",LIFESTYLE
"Tak Hanya Jokowi, Erick Thohir Juga Mengaku Belum Tahu Soal Subsidi KRL Berbasis NIK",Erick Thohir mengaku dirinya belum mengtahui aturan subsidi tarif KRL berbasis NIK. Ia meminta sistem tersebut harus dibahas bersama sebelum resmi ditetapkan.,"Senin, 02 September 2024 - 19:42 WIB",EKONOMI BISNIS
"Ungkap Kasus Bullying di Undip, Menkes: Perundungan Sudah Puluhan Tahun",Menkes Budi Gunadi Sadikin mengatakan bahwa praktik-praktik perundungan (bullying) di Universitas Diponegoro (Undip) Semarang telah berlangsung selama puluhan tahun.,"Senin, 02 September 2024 - 20:07 WIB",NASIONAL
Aryono Miranat Ingatkan Leo/Bagas untuk Tak Cepat Puas setelah Juara Korea Open 2024,"Pelatih ganda putra Indonesia, Aryono Miranat, mengungkapkan evaluasi untuk Leo Rolly Carnando/Bagas Maulana, setelah menjadi juara Korea Open 2024. Dia memperingatkan agar tidak cepat puas karena masih ada yang perlu ditingkatkan dari segi permainan.","Senin, 02 September 2024 - 20:00 WIB",SPORTS
Di Mana Duha? Gadis Kecil Palestina yang Diduga Diculik Tentara Israel di Gaza,"Dewan Hak Asasi Manusia PBB dan lembaga amal Save the Children telah melaporkan ribuan kasus anak-anak Palestina yang telah ditahan, dihilangkan, atau diculik setelah invasi Israel ke Jalur Gaza.","Senin, 02 September 2024 - 19:15 WIB",INTERNATIONAL
Kemenag RI Apresiasi Kinerja UPZ BAZNAS dalam Tingkatkan Kesejahteraan Umat,Kementerian Agama (Kemenag) RI mengapresiasi kinerja Unit Pengumpul Zakat (UPZ) BAZNAS RI yang turut membantu meningkatkan kesejahteraan umat.,"Senin, 02 September 2024 - 19:11 WIB",DAERAH
"KPU Jakarta Gelar Penetapan Cagub-Cawagub 22 September, Pengundian Nomor Urut 23 September",Komisi Pemilihan Umum (KPU) Jakarta melakukan penetapan Calon Gubernur dan Calon Wakil Gubernur Jakarta pada 22 September 2024 mendatang.,"Senin, 02 September 2024 - 19:23 WIB",METRO
